Mean_Train,STD_Train,Finish Train,Train Steps,Train Steps STD,Mean_Test,STD_Test,Finish Test,Test Steps,Test Steps STD
-6339.589285714285,6645.67963115024,1.0,1183.1294642857142,1119.4115666547436,-4833.428571428572,5773.259721883862,1.0,927.9464285714286,974.1651264332313
-6490.111607142857,7451.662599778435,0.9955357142857143,1207.236607142857,1250.4466531643473,-5634.428571428572,5338.384891041293,1.0,1065.4285714285713,903.070493553261
-5681.678571428572,7323.773215424503,1.0,1070.96875,1232.4512899336637,-7167.0,7710.20894658504,1.0,1319.8392857142858,1300.0494053357263
-5823.133928571428,6719.869285499979,1.0,1095.388392857143,1132.2703788221836,-7097.464285714285,8547.569562588884,1.0,1307.3035714285713,1438.0892322756765
-6784.473214285715,7711.194586744629,1.0,1256.8125,1297.531306608617,-6687.0,7988.234070896307,1.0,1240.732142857143,1342.8590832765235
-5830.955357142857,7284.994480937698,1.0,1095.5625,1226.5027828956986,-8094.964285714285,10465.130239385266,1.0,1475.392857142857,1756.1783862223945
-6160.580357142857,6715.410487850199,1.0,1152.4330357142858,1131.5244556482508,-6653.785714285715,8617.105005067964,1.0,1235.482142857143,1446.1854997479134
-6031.955357142857,6924.055430537068,1.0,1130.0089285714287,1165.9098761079242,-7106.357142857143,7868.400473749803,1.0,1310.7857142857142,1323.7219134250338
-6354.294642857143,7765.954567325063,1.0,1184.232142857143,1306.7841182934462,-7142.142857142857,10550.546098643039,1.0,1315.4464285714287,1769.0428598502765
-6622.5,7528.393027162475,1.0,1229.642857142857,1266.346106613312,-5849.464285714285,7522.284816188984,1.0,1097.9107142857142,1266.8580549192461
-5557.017857142857,6393.94427505732,1.0,1050.8080357142858,1077.6712093542917,-5994.75,6321.584815563036,1.0,1125.267857142857,1065.2706311253799
-6528.723214285715,7123.063730273128,1.0,1213.5535714285713,1199.8938222318263,-6662.464285714285,7284.853410536837,1.0,1237.1607142857142,1226.3483217723158
-6134.705357142857,6505.152158836423,1.0,1147.8214285714287,1097.0055607220513,-5535.964285714285,7846.445846833834,1.0,1045.8392857142858,1318.8711863991023
-5823.080357142857,6998.49543861086,1.0,1094.9776785714287,1178.2745384224388,-7800.696428571428,9816.964860309865,0.9821428571428571,1426.892857142857,1637.3036815640723
-6269.785714285715,7256.876752714052,1.0,1170.325892857143,1221.4259034193788,-6038.785714285715,5826.433737453707,1.0,1133.1785714285713,985.630981857794
-6225.026785714285,7409.389705154802,1.0,1162.8705357142858,1245.9737393427904,-5983.178571428572,6338.933565973581,1.0,1121.3214285714287,1070.6295895930791
-6563.223214285715,8037.752786748898,1.0,1219.3705357142858,1351.0140937285903,-6600.535714285715,6699.584752495288,1.0,1227.857142857143,1128.3692314348966
-6000.294642857143,7074.4082427164285,1.0,1123.9419642857142,1192.0250780962738,-6666.857142857143,7012.040765274938,1.0,1239.25,1178.8524269996042
-6451.419642857143,7847.112186224024,1.0,1200.46875,1319.1238159780835,-6451.607142857143,7189.982226479551,1.0,1201.267857142857,1208.6753299594359
-7021.125,7304.7713897016365,1.0,1298.0535714285713,1228.3456015197673,-8081.25,9953.00986825091,1.0,1472.517857142857,1671.163260288553
-6810.991071428572,7302.814287504334,1.0,1261.75,1228.9487922320325,-5083.071428571428,6005.094098992547,1.0,970.2142857142857,1014.5602445374637
