Mean_Train,STD_Train,Finish Train,Train Steps,Train Steps STD,Mean_Test,STD_Test,Finish Test,Test Steps,Test Steps STD
-4350.053571428572,7599.33633126614,1.0,275.52232142857144,319.21948539977427,-4277.464285714285,5956.3071911938305,1.0,273.25,250.32052666816713
-4553.866071428572,7021.808545518759,1.0,284.3705357142857,295.1475285279238,-4011.1071428571427,7420.341048377405,1.0,261.51785714285717,311.6127972266354
-4583.303571428572,6856.963468984449,1.0,285.67410714285717,288.12803461232295,-4306.714285714285,5226.801199157109,1.0,274.625,220.2828184159757
-3404.4375,5941.389745856198,1.0,236.03571428571428,250.0763964904178,-3822.4285714285716,4711.127507057637,1.0,254.39285714285714,198.8168287081127
-4514.25,6501.246375695971,1.0,282.8169642857143,273.3557948993768,-2703.75,4690.715420038367,1.0,206.83928571428572,197.94261224493056
-4556.008928571428,7537.138710833764,1.0,284.38392857142856,316.53949893270243,-3374.25,5749.926410243377,1.0,234.57142857142858,242.04765300768898
-3634.9285714285716,7469.6441917966085,1.0,245.45089285714286,313.5466576397522,-5093.571428571428,8442.864093543187,1.0,307.0357142857143,354.2555556720174
-4264.848214285715,6562.252510584714,1.0,272.20535714285717,275.9790733006263,-3565.5,5841.180081969738,1.0,243.03571428571428,245.90212660192051
-5021.517857142857,8039.018029254638,1.0,303.89732142857144,337.4121488730229,-3845.1428571428573,6628.786937691249,1.0,254.42857142857142,279.00447110747024
-5435.169642857143,8380.616162128867,1.0,321.39732142857144,351.591062416832,-6138.107142857143,9500.036815113948,1.0,350.76785714285717,398.11829680705586
-5018.357142857143,7801.209460783654,1.0,303.9732142857143,327.402028961703,-5862.75,8386.464533167205,1.0,339.51785714285717,351.6878684629022
-4811.892857142857,7623.753693645773,1.0,295.10714285714283,320.17708150398295,-6065.464285714285,7562.374820603374,1.0,348.26785714285717,317.47443603897517
-3721.5803571428573,6636.515634753559,1.0,249.33035714285714,278.9043259022981,-3782.3571428571427,5025.36954017375,1.0,252.48214285714286,211.79816799688504
-3371.3571428571427,5693.83439228212,1.0,234.42857142857142,240.04514881452562,-4493.035714285715,6951.163581845966,1.0,281.82142857142856,292.3134391089015
-5113.714285714285,7462.087953961214,1.0,307.83035714285717,313.5275075763135,-3197.035714285714,5985.590279890906,1.0,227.60714285714286,251.4560227506015
-5244.723214285715,7251.91978487399,1.0,313.375,304.8431864148704,-3715.6071428571427,7661.0662389181725,1.0,248.92857142857142,321.44322188834406
-3921.75,6051.588785629534,1.0,257.6607142857143,254.96031041164838,-4902.964285714285,6811.945264345477,1.0,299.125,286.48442132289546
-4843.017857142857,7242.780799801058,1.0,296.61607142857144,304.1673278199645,-3856.285714285714,6360.5455676669235,1.0,255.01785714285714,267.2543258417391
-4228.178571428572,6365.168570619159,1.0,270.75892857142856,267.74288857888706,-3787.5,5395.3114467232435,1.0,252.07142857142858,227.76302355290068
-4567.232142857143,7194.082931953451,1.0,284.89285714285717,302.4531503609531,-3065.5714285714284,5074.0413973519,1.0,222.07142857142858,213.65031987730202
