Mean_Train,STD_Train,Finish Train,Mean_Test,STD_Test,Finish Test
-15.28061224489796,213.38213740351011,0.0,0.0,0.0,0.0
-38.17857142857143,533.1347359567501,0.0,0.0,0.0,0.0
-29.479591836734695,411.6600968004945,0.0,0.0,0.0,0.0
-25.494897959183675,356.01687499343564,0.0,0.0,0.0,0.0
-17.806122448979593,248.64896812629388,0.0,0.0,0.0,0.0
-13.76530612244898,192.22203896983982,0.0,0.0,0.0,0.0
-17.244897959183675,240.81189463234193,0.0,0.0,0.0,0.0
-39.02040816326531,544.890346197678,0.0,0.0,0.0,0.0
-32.95918367346939,460.249952462997,0.0,0.0,0.0,0.0
-22.01530612244898,307.4270193309337,0.0,0.0,0.0,0.0
-17.46938775510204,243.94672402992282,0.0,0.0,0.0,0.0
-26.392857142857142,368.55619258375896,0.0,0.0,0.0,0.0
-13.989795918367347,195.35686836742056,0.0,0.0,0.0,0.0
-25.887755102040817,361.5028264392021,0.0,0.0,0.0,0.0
-12.306122448979592,171.84564788556472,0.0,0.0,0.0,0.0
-22.801020408163264,318.39892222246647,0.0,0.0,0.0,0.0
-39.58163265306123,552.72741969163,0.0,0.0,0.0,0.0
-27.51530612244898,384.23033957166274,0.0,0.0,0.0,0.0
-32.39795918367347,452.41287896904504,0.0,0.0,0.0,0.0
-20.668367346938776,288.6180429454488,0.0,0.0,0.0,0.0
-27.51530612244898,384.23033957166274,0.0,0.0,0.0,0.0
-14.270408163265307,199.2754051143966,0.0,0.0,0.0,0.0
-40.19897959183673,561.348200534977,0.0,0.0,0.0,0.0
-29.98469387755102,418.71346294505116,0.0,0.0,0.0,0.0
16.540816326530614,230.97992970356586,0.0,0.0,0.0,0.0
-20.387755102040817,284.6995061984729,0.0,0.0,0.0,0.0
-31.051020408163264,433.60390258356,0.0,0.0,0.0,0.0
-10.061224489795919,140.49735390975695,0.0,0.0,0.0,0.0
6.9438775510204085,96.96597295698737,0.0,0.0,0.0,0.0
-13.653061224489797,190.6546242710495,0.0,0.0,0.0,0.0
-23.755102040816325,331.7219471621848,0.0,0.0,0.0,0.0
-10.73469387755102,149.90184210249927,0.0,0.0,0.0,0.0
-14.887755102040817,207.89618595774368,0.0,0.0,0.0,0.0
-33.857142857142854,472.78927005331997,0.0,0.0,0.0,0.0
